crew_id	role	movie_id
nm1112579	camera_department,miscellaneous	tt0360009
nm1112579	camera_department,miscellaneous	tt0195685
nm1114695	producer,writer,actor	tt0362120
nm1114695	producer,writer,actor	tt7269378
nm1114695	producer,writer,actor	tt5827228
nm1114695	producer,writer,actor	tt1142800
nm1114960	actor,miscellaneous,script_department	tt0087843
nm1114960	actor,miscellaneous,script_department	tt0175142
nm1114960	actor,miscellaneous,script_department	tt0174105
nm1114960	actor,miscellaneous,script_department	tt0491720
nm1120169	soundtrack,actor,composer	tt4116284
nm1120169	soundtrack,actor,composer	tt1308728
nm1120169	soundtrack,actor,composer	tt4701182
nm1120169	soundtrack,actor,composer	tt3521126
nm1121389	producer,writer,soundtrack	tt0096697
nm1121389	producer,writer,soundtrack	tt1885560
nm1121389	producer,writer,soundtrack	tt14573402
nm1121389	producer,writer,soundtrack	tt0462538
nm1121972	writer,script_department	tt0112220
nm1121972	writer,script_department	tt0257106
nm1121972	writer,script_department	tt0284770
nm1121972	writer,script_department	tt0115250
nm11245487		tt4858674
nm11245487		tt3215824
nm11245487		tt3315342
nm11245487		tt9243946
nm1125208	miscellaneous,producer,director	tt1333125
nm1125208	miscellaneous,producer,director	tt0206901
nm1125208	miscellaneous,producer,director	tt0454941
nm1125208	miscellaneous,producer,director	tt0192111
nm11258399	music_department	tt14460998
nm11258399	music_department	tt0389790
nm11258399	music_department	tt11378264
nm1130768	editor,editorial_department	tt6205766
nm1130768	editor,editorial_department	tt7909878
nm1130768	editor,editorial_department	tt2429292
nm1130768	editor,editorial_department	tt1333125
nm1131680	animation_department,producer,art_department	tt0462538
nm1131680	animation_department,producer,art_department	tt4853102
nm1131680	animation_department,producer,art_department	tt1213218
nm1131680	animation_department,producer,art_department	tt0147746
nm1131805	soundtrack	tt7347846
nm1131805	soundtrack	tt0140888
nm1131805	soundtrack	tt0120338
nm1131805	soundtrack	tt0462538
nm1132465	miscellaneous,make_up_department,stunts	tt10323338
