movie_id	crew_id
tt0080520	nm0341337
tt0092106	nm0341384
tt0076257	nm0341483
tt0079588	nm0344329
tt0134067	nm0349355
tt0113198	nm0349368
tt1490017	nm0353007
tt0362120	nm0356021
tt0389790	nm0358841
tt0257106	nm0360261
tt0175142	nm0360355
tt0076257	nm0363239
tt0076257	nm0363246
tt0079588	nm0363580
tt0466342	nm0364006
tt2123146	nm0365030
tt0100740	nm0365666
tt0113198	nm0366033
tt0113820	nm0368079
tt0392878	nm0368115
tt0455326	nm0368579
tt0443431	nm0368746
tt0289408	nm0369943
tt0175142	nm0370482
tt0092106	nm0371637
tt0345950	nm0372935
tt0190524	nm0380715
tt0112572	nm0382680
tt0114563	nm0383014
tt1490017	nm0383076
tt0190641	nm0383724
tt0210234	nm0386237
tt0275277	nm0386299
tt3513498	nm0389964
tt0113198	nm0390511
tt0190641	nm0391125
tt0220099	nm0392665
tt1333125	nm0393855
tt0080520	nm0394218
tt0455326	nm0395774
tt1114677	nm0397628
tt0092106	nm0398424
tt0113198	nm0398821
tt1114677	nm0399237
tt0306047	nm0401018
tt0114563	nm0401681
tt0076257	nm0402307
tt0076257	nm0404865
tt0190641	nm0406754
tt0190641	nm0407025
tt0105616	nm0409025
tt0086491	nm0410519
tt0190641	nm0410660
tt0190641	nm0411167
tt0190641	nm0411614
tt0275277	nm0411636
tt1333125	nm0414120
tt2091256	nm0416236
tt0277371	nm0416856
tt0079588	nm0417058
tt0306841	nm0418070
tt0443431	nm0418809
tt0306841	nm0420099
tt0462538	nm0422423
tt0113820	nm0422766
tt0306841	nm0423876
tt0277371	nm0424688
tt0795461	nm0424688
tt0175142	nm0424688
tt0362120	nm0424688
tt2123146	nm0425287
tt0117128	nm0425306
tt2279373	nm0425672
tt0257106	nm0426158
tt0113820	nm0426158
tt0426592	nm0426716
tt0113820	nm0427735
tt0175142	nm0427802
tt0113820	nm0428244
tt0426592	nm0428591
tt0116118	nm0429837
tt0076257	nm0430370
tt0079588	nm0432075
tt0235679	nm0432966
tt0210234	nm0434602
tt0485323	nm0435358
tt0323642	nm0435403
tt0220099	nm0435403
tt0113820	nm0436960
tt0113198	nm0438120
tt0485323	nm0441365
tt3717532	nm0441534
tt0076257	nm0442164
tt0076257	nm0442361
tt1985949	nm0445877
tt0345950	nm0446289
tt0462538	nm0446664
tt0080520	nm0447926
tt0117128	nm0452522
tt0190641	nm0452720
tt0407121	nm0452886
tt0220099	nm0452886
tt0099472	nm0454383
tt0322802	nm0456050
tt1333125	nm0456947
tt0491703	nm0458456
tt0306047	nm0459500
tt0466342	nm0459500
tt0306841	nm0460152
tt0105616	nm0461809
