id	name	birthDate	deathDate	role	movies
nm2213503	Adam Cannel	\N	\N	actor	tt0362120,tt2154376
nm2213803	Michael Ikeda	\N	\N	actor	tt0362120
nm2213822	Dru Williams	\N	\N	actor	tt1670984,tt0491738,tt0362120,tt1307824
nm2214628	Melissa Bernstein	\N	\N	producer,director,miscellaneous	tt0903747,tt12059644,tt3032476,tt9243946
nm2214691	Leandro Iddrisu	\N	\N	actor	tt0362120
nm2215610	Tina Hosford	\N	\N	actress	tt0362120
nm2216161	Johnny Ortiz	\N	\N	actor	tt0248667,tt9243946,tt2097298,tt6850820
nm2216295	Scott Barratt	\N	\N	actor	tt0268789,tt0167720,tt0362120
nm2217537	Michael Alcantara	\N	\N	sound_department,location_management,special_effects	tt9243946,tt1488606,tt7846844,tt7653254
nm2217812	Beorn Leonard	\N	\N	art_department,animation_department,visual_effects	tt9806192,tt4116284,tt1490017,tt7504818
nm2218655	Gabriela Cerecero	\N	\N	actress	tt0362120
nm2224986	Marc Leveille	\N	\N	miscellaneous,location_management,assistant_director	tt1054606,tt0429493,tt0362120,tt0814255
nm2227144	Camela Cheng	\N	\N	animation_department,visual_effects	tt5758778,tt1490017,tt1343092,tt2034800
nm2228204	Phil Rynda	1981	\N	animation_department,art_department,production_designer	tt3061046,tt1000070,tt1490017,tt1865718
nm2236078	Ivaylo Anguelov	\N	\N	art_department,assistant_director,visual_effects	tt0462538,tt0182576,tt0414853,tt1587807
nm2240588	Clare Ann McKenna	\N	\N	miscellaneous,visual_effects	tt0436339,tt0389790,tt0892782,tt0441773
nm2247112	Suelika J. Chial	\N	\N	visual_effects,miscellaneous	tt0389790,tt0481499,tt0783521
nm2252846	Cathy Jones	\N	\N	art_department,animation_department,visual_effects	tt0090633,tt0462538,tt0385752,tt0120794
nm2253003	Susie McIlwaine	\N	\N	script_department,location_management,miscellaneous	tt0362120,tt0944947,tt0804552
nm2253990	Seanne Winslow	\N	\N	producer,writer,miscellaneous	tt1490017,tt0438488,tt11389120,tt0988045
nm2259400	Ricky Baba	\N	\N	visual_effects,art_department,art_director	tt0892782,tt1302011,tt1446192,tt0389790
nm2259758	Paul Duchemin	\N	\N	art_department,miscellaneous	tt0421729,tt10648342,tt0257106,tt0245686
nm2259955	Scott Hurney	\N	\N	art_department,animation_department,miscellaneous	tt4116284,tt5117670,tt1490017,tt1219342
nm2261666	Jessica Groom	\N	\N	visual_effects,animation_department	tt0448134,tt1490017,tt0443649,tt0330373
nm2262055	Dr. Hook	\N	\N	soundtrack,actor	tt9243946,tt0405422,tt0181875,tt8690918
nm2262490	Marsha Malamet	\N	\N	soundtrack,composer,music_department	tt0175142,tt5233558,tt0112849,tt0081787
nm2265640	Benjamin Sakai	\N	\N	animation_department,visual_effects,miscellaneous	tt0462538,tt0398286,tt0780521,tt0454876
nm2266352	Rob Tewlow	\N	\N	soundtrack,music_department	tt0175142,tt2005151,tt0368578,tt1560954
