ID	NAME	BIRTH	DEATH	PROFESSION	MOVIES
nm9015087	Jessica Amelia	\N	\N	animation_department	tt5323662,tt8346438,tt2230051,tt7058854
nm9018814	Atsushi Ishida	\N	2019	animation_department	tt5323662,tt6915208,tt5688888,tt4539114
nm9018816	Ayaka Tada	\N	\N	animation_department	tt5323662,tt0456978,tt0456980,tt4539114
nm9018817	Jun'ichi Uda	\N	2019	animation_department	tt5323662,tt1572781,tt2340841,tt4539114
nm9018818	Maiko Yagami	\N	\N	animation_department	tt5323662
nm9018842	Seika Negoro	\N	\N	animation_department	tt5323662,tt4872210,tt4539114
nm9019811	Coco Soren	\N	\N	actress	tt2091256,tt11271038
nm9023425	Sharp	\N	\N	art_department	tt2967286
nm9023428	Rue Yamada	\N	\N	editorial_department	tt2967286
nm9023429	Ryôhei Mito	\N	\N	editorial_department	tt2967286
nm9024353	Maruko Tatsunari	\N	2019	animation_department	tt5323662,tt5688888,tt7089882,tt8652818
nm9024355	Tadashi Kashiwagi	\N	\N	animation_department	tt5323662,tt10477558,tt4872210,tt1298820
nm9024434	Kouki Ueda	\N	\N	camera_department	tt5323662
nm9024439	Katsunori Satou	\N	\N	miscellaneous	tt5323662
nm9025220	Chang Sun Park	\N	\N	camera_department	tt2967286,tt2904420,tt8346438
nm9025226	Midori Ôshima	\N	\N	animation_department	tt2967286
nm9025244	Yaichi Tonegawa	\N	\N	animation_department	tt2967286
nm9025280	Miku Hirasawa	\N	\N	animation_department	tt2967286
nm9025281	Hiroto Fujii	\N	\N	animation_department	tt2967286,tt2374144,tt2431934
nm9025283	Kenzô Yamazaki	\N	\N	animation_department	tt2967286
nm9025284	Aya Kanô	\N	\N	animation_department	tt2967286,tt14128312
nm9025285	Shôtarô Genma	\N	\N	animation_department	tt2967286
nm9025286	Nanako Egami	\N	\N	animation_department	tt2967286,tt5895314,tt9426210,tt6336356
nm9025299	Misaki Hattori	\N	\N	animation_department	tt2967286,tt8161914,tt13997358,tt2374144
nm9025300	Yumi Koga	\N	\N	animation_department	tt2967286
nm9025305	Tomomi Noda	\N	\N	animation_department	tt2967286,tt2374144,tt4379632,tt2507174
nm9025308	Yûhei Nomura	\N	\N	animation_department	tt2967286
nm9025309	Hideki Nakagawa	\N	\N	animation_department	tt5544384,tt2967286,tt3114390,tt8108230
nm9025661	Anna Christoffersen	\N	\N	transportation_department,miscellaneous	tt3014284,tt9575160,tt2557478,tt5813366
nm9026650	Maiko Tanigami	\N	\N	animation_department	tt5323662,tt2340841,tt4539114,tt1572781
nm9026781	Takaaki Saitô	\N	\N	animation_department	tt4618398,tt3717532,tt2290828,tt1785394
nm9027357	Eun Kyung Seo	\N	\N	animation_department	tt2967286
nm9027359	Yo Han Ko	\N	\N	animation_department	tt2967286
nm9027360	Won Suk Chai	\N	\N	animation_department	tt2967286
nm9027364	Hyung June Kim	\N	\N	animation_department	tt2967286
nm9043317	Luke Combs	\N	\N	actor,composer,soundtrack	tt6095472
nm9054338	Steve Hickner	\N	\N	art_department,animation_department,director	tt0389790,tt0097757,tt0112453,tt0120794
nm9058329	Kenji Kondo	\N	\N	art_department	tt9243946,tt9777666,tt3896198,tt1825683
nm9058526	Dorian Bougard	\N	\N	animation_department	tt2091256,tt2709692,tt5113040,tt8320584
nm9060465	Shôki Niwa	\N	\N	producer,miscellaneous	tt5544384,tt6580380,tt2250192,tt3874528
nm9066325	Abel Arnett	\N	\N	actor	tt4116284
nm9113353	Julia Ceschino	\N	\N	visual_effects,director,writer	tt4823776,tt9784458,tt8001346
nm9120221	Sayaka Ichiyama	\N	\N	animation_department	tt5323662,tt4539114,tt6915208,tt7078180
nm9120225	Chinatsu Kamo	\N	\N	animation_department	tt5323662,tt4539114,tt6915208,tt7078180
nm9120228	Mai Oku	\N	\N	animation_department	tt5323662,tt3138698,tt5311514,tt7167630
nm9120229	Ah Rum Han	\N	\N	production_manager	tt5323662,tt8652818
nm9120233	Takahisa Fujita	\N	2019	production_manager	tt5323662,tt4539114,tt7078180,tt6915208
nm9120236	Mariko Nagata	\N	\N	miscellaneous	tt5323662,tt4971484,tt3204012
nm9120237	Toshinori Onishi	\N	\N	miscellaneous	tt5323662
nm9120239	Miyuki Nishihara	\N	\N	miscellaneous	tt5323662
nm9120240	Naomi Masukawa	\N	\N	miscellaneous	tt5323662
nm9120241	Miyako Hasuko	\N	\N	miscellaneous	tt5323662
nm9120242	Motomi Nakajima	\N	\N	miscellaneous	tt5323662
nm9120243	Ruruka Minami	\N	\N	miscellaneous	tt5323662
nm9120244	Seiichiro Kuroda	\N	\N	miscellaneous	tt5323662
nm9120245	Tamaki Kabasawa	\N	\N	miscellaneous	tt5323662
nm9120246	Tamane Higuchi	\N	\N	miscellaneous	tt5323662
nm9132623	Rie Maekawa	\N	\N	animation_department	tt5323662,tt4872210,tt6915208,tt7089878
nm9132625	Saki Kamidozono	\N	\N	animation_department	tt5323662,tt6915208,tt4872210
nm9132628	Sumire Kusano	\N	2019	animation_department	tt5323662,tt7078180,tt4539114,tt6915208
nm9132645	Hitoki Takeda	\N	\N	animation_department	tt5323662,tt9426210,tt11443824,tt5311514
nm9132647	Michino Fujiwara	\N	\N	animation_department,visual_effects,art_department	tt5323662,tt5311514,tt7167630,tt9426210
nm9132650	Naohito Sugawara	\N	\N	animation_department	tt5323662
nm9132654	Ryu Yang-Mi	\N	\N	animation_department	tt5323662
nm9132658	Shizuko Kanbara	\N	\N	animation_department	tt5323662,tt4872210,tt8652818,tt6915208
nm9138270	Jude Kouyate	\N	\N	actor	tt4877122
nm9138272	Paige Eileen Caparella	\N	\N	actress	tt4877122
nm9143382	Mikaela Pfeifer	\N	\N	animation_department,visual_effects	tt6095472,tt9362722,tt6348138,tt6182908
nm9144272	Teru Matsumoto	\N	\N	camera_department	tt5323662,tt4872210,tt6915208,tt7089878
